PCT,Nirenberg,Brockhouse,Turnout ,Nirenberg % ,Brockhouse %
1001,172,26,198,0.87,0.13
1002,27,50,77,0.35,0.65
1003,253,56,309,0.82,0.18
1004,59,31,90,0.66,0.34
1005,49,35,84,0.58,0.42
1006,151,99,250,0.6,0.4
1007,103,74,177,0.58,0.42
1008,378,70,448,0.84,0.16
1010,79,30,109,0.72,0.28
1011,27,35,62,0.44,0.56
1012,112,135,247,0.45,0.55
1013,170,111,281,0.6,0.4
1014,62,31,93,0.67,0.33
1015,53,36,89,0.6,0.4
1016,44,42,86,0.51,0.49
1017,8,10,18,0.44,0.56
1018,114,102,216,0.53,0.47
1019,67,36,103,0.65,0.35
1020,141,128,269,0.52,0.48
1021,94,53,147,0.64,0.36
1022,40,39,79,0.51,0.49
1023,126,65,191,0.66,0.34
1024,150,197,347,0.43,0.57
1025,25,12,37,0.68,0.32
1026,62,47,109,0.57,0.43
1028,58,50,108,0.54,0.46
1029,133,81,214,0.62,0.38
1030,0,1,1,0,1
1031,91,63,154,0.59,0.41
1032,111,86,197,0.56,0.44
1033,71,86,157,0.45,0.55
1036,185,238,423,0.44,0.56
1037,137,118,255,0.54,0.46
1038,156,176,332,0.47,0.53
1039,59,94,153,0.39,0.61
1040,136,89,225,0.6,0.4
1041,90,89,179,0.5,0.5
1042,48,51,99,0.48,0.52
1043,78,106,184,0.42,0.58
1044,122,101,223,0.55,0.45
1045,157,150,307,0.51,0.49
1046,123,70,193,0.64,0.36
1047,59,68,127,0.46,0.54
1048,96,101,197,0.49,0.51
1049,123,124,247,0.5,0.5
1050,84,79,163,0.52,0.48
1051,106,130,236,0.45,0.55
1052,108,88,196,0.55,0.45
1053,17,11,28,0.61,0.39
1054,156,122,278,0.56,0.44
1055,175,194,369,0.47,0.53
1056,130,155,285,0.46,0.54
1057,0,2,2,0,1
1058,1,7,8,0.13,0.88
1059,6,16,22,0.27,0.73
1060,108,78,186,0.58,0.42
1061,81,78,159,0.51,0.49
1062,3,4,7,0.43,0.57
1063,2,1,3,0.67,0.33
1069,46,86,132,0.35,0.65
1070,25,64,89,0.28,0.72
1071,81,111,192,0.42,0.58
1072,113,104,217,0.52,0.48
1074,1,1,2,0.5,0.5
1075,71,93,164,0.43,0.57
1076,113,185,298,0.38,0.62
1077,157,79,236,0.67,0.33
1078,29,14,43,0.67,0.33
1079,206,283,489,0.42,0.58
1080,133,158,291,0.46,0.54
1083,160,207,367,0.44,0.56
1084,104,151,255,0.41,0.59
1085,75,105,180,0.42,0.58
1086,183,232,415,0.44,0.56
1087,78,88,166,0.47,0.53
1088,59,30,89,0.66,0.34
1089,73,102,175,0.42,0.58
1090,0,0,0,0,0
1091,103,127,230,0.45,0.55
1092,27,20,47,0.57,0.43
1093,50,94,144,0.35,0.65
1094,66,71,137,0.48,0.52
1096,4,2,6,0.67,0.33
1097,47,47,94,0.5,0.5
1098,55,33,88,0.63,0.38
1099,299,470,769,0.39,0.61
1100,129,186,315,0.41,0.59
1101,0,0,0,0,0
1102,1,2,3,0.33,0.67
1104,257,396,653,0.39,0.61
1105,21,24,45,0.47,0.53
1106,0,0,0,0,0
1108,0,0,0,0,0
1109,0,1,1,0,1
1111,332,496,828,0.4,0.6
1113,139,192,331,0.42,0.58
1114,0,0,0,0,0
1117,21,32,53,0.4,0.6
1119,3,7,10,0.3,0.7
1120,7,2,9,0.78,0.22
1123,0,2,2,0,1
1124,3,0,3,1,0
1126,0,0,0,0,0
1127,27,24,51,0.53,0.47
1130,0,0,0,0,0
1131,0,0,0,0,0
1132,0,2,2,0,1
1133,0,0,0,0,0
1134,0,0,0,0,0
1135,0,0,0,0,0
1136,3,6,9,0.33,0.67
1137,0,0,0,0,0
1138,14,10,24,0.58,0.42
1139,27,42,69,0.39,0.61
1146,5,5,10,0.5,0.5
2001,44,21,65,0.68,0.32
2002,71,46,117,0.61,0.39
2003,101,89,190,0.53,0.47
2004,126,61,187,0.67,0.33
2005,125,59,184,0.68,0.32
2006,2,1,3,0.67,0.33
2007,82,56,138,0.59,0.41
2008,71,43,114,0.62,0.38
2009,86,53,139,0.62,0.38
2010,116,94,210,0.55,0.45
2011,149,70,219,0.68,0.32
2012,76,36,112,0.68,0.32
2013,109,50,159,0.69,0.31
2014,96,78,174,0.55,0.45
2015,70,46,116,0.6,0.4
2016,48,22,70,0.69,0.31
2017,34,25,59,0.58,0.42
2018,111,72,183,0.61,0.39
2019,72,68,140,0.51,0.49
2020,119,118,237,0.5,0.5
2021,152,95,247,0.62,0.38
2022,93,54,147,0.63,0.37
2023,218,128,346,0.63,0.37
2024,120,98,218,0.55,0.45
2025,241,141,382,0.63,0.37
2026,255,159,414,0.62,0.38
2027,171,138,309,0.55,0.45
2028,351,199,550,0.64,0.36
2029,69,51,120,0.58,0.43
2030,81,48,129,0.63,0.37
2031,83,43,126,0.66,0.34
2032,32,23,55,0.58,0.42
2033,42,24,66,0.64,0.36
2034,35,14,49,0.71,0.29
2035,336,76,412,0.82,0.18
2036,494,125,619,0.8,0.2
2037,141,215,356,0.4,0.6
2038,220,104,324,0.68,0.32
2039,212,55,267,0.79,0.21
2040,228,167,395,0.58,0.42
2041,204,164,368,0.55,0.45
2042,101,69,170,0.59,0.41
2043,90,131,221,0.41,0.59
2044,69,106,175,0.39,0.61
2045,497,141,638,0.78,0.22
2046,420,181,601,0.7,0.3
2047,238,117,355,0.67,0.33
2048,78,46,124,0.63,0.37
2049,229,186,415,0.55,0.45
2050,159,135,294,0.54,0.46
2051,56,18,74,0.76,0.24
2052,50,34,84,0.6,0.4
2053,103,36,139,0.74,0.26
2054,349,98,447,0.78,0.22
2055,288,66,354,0.81,0.19
2056,107,81,188,0.57,0.43
2057,103,79,182,0.57,0.43
2058,109,106,215,0.51,0.49
2059,155,113,268,0.58,0.42
2060,135,76,211,0.64,0.36
2062,115,89,204,0.56,0.44
2064,219,185,404,0.54,0.46
2066,342,455,797,0.43,0.57
2067,47,16,63,0.75,0.25
2068,408,593,1001,0.41,0.59
2069,184,226,410,0.45,0.55
2070,144,67,211,0.68,0.32
2071,32,20,52,0.62,0.38
2072,202,282,484,0.42,0.58
2073,106,63,169,0.63,0.37
2074,28,27,55,0.51,0.49
2075,48,24,72,0.67,0.33
2076,156,221,377,0.41,0.59
2077,237,303,540,0.44,0.56
2078,133,213,346,0.38,0.62
2079,35,16,51,0.69,0.31
2080,63,80,143,0.44,0.56
2081,91,56,147,0.62,0.38
2082,109,83,192,0.57,0.43
2083,128,61,189,0.68,0.32
2084,435,555,990,0.44,0.56
2085,106,98,204,0.52,0.48
2086,341,305,646,0.53,0.47
2087,162,290,452,0.36,0.64
2088,293,350,643,0.46,0.54
2089,24,12,36,0.67,0.33
2090,84,65,149,0.56,0.44
2091,161,92,253,0.64,0.36
2092,33,34,67,0.49,0.51
2093,30,34,64,0.47,0.53
2094,45,8,53,0.85,0.15
2096,112,45,157,0.71,0.29
2097,133,185,318,0.42,0.58
2098,60,102,162,0.37,0.63
2099,134,194,328,0.41,0.59
