PCT,Nirenberg,Brockhouse,Others,Nirenberg % ,Brockhouse %
1001,197,23,6,0.90,0.10
1002,59,27,5,0.69,0.31
1003,276,58,14,0.83,0.17
1004,105,23,17,0.82,0.18
1005,87,16,9,0.84,0.16
1006,243,61,32,0.80,0.20
1007,188,37,15,0.84,0.16
1008,455,55,22,0.89,0.11
1010,113,22,4,0.84,0.16
1011,44,28,8,0.61,0.39
1012,169,73,27,0.70,0.30
1013,303,60,28,0.83,0.17
1014,108,29,18,0.79,0.21
1015,110,20,16,0.85,0.15
1016,94,18,10,0.84,0.16
1017,28,14,4,0.67,0.33
1018,218,63,19,0.78,0.22
1019,83,22,5,0.79,0.21
1020,248,113,31,0.69,0.31
1021,144,36,15,0.80,0.20
1022,64,29,7,0.69,0.31
1023,192,33,24,0.85,0.15
1024,271,131,35,0.67,0.33
1025,39,8,5,0.83,0.17
1026,94,28,7,0.77,0.23
1028,93,21,11,0.82,0.18
1029,214,47,16,0.82,0.18
1030,3,1,1,0.75,0.25
1031,144,38,15,0.79,0.21
1032,213,43,17,0.83,0.17
1033,138,40,16,0.78,0.22
1036,301,144,45,0.68,0.32
1037,184,75,24,0.71,0.29
1038,257,124,35,0.67,0.33
1039,136,48,31,0.74,0.26
1040,196,48,17,0.80,0.20
1041,130,52,18,0.71,0.29
1042,102,17,13,0.86,0.14
1043,119,64,22,0.65,0.35
1044,221,52,17,0.81,0.19
1045,284,101,29,0.74,0.26
1046,181,41,17,0.82,0.18
1047,130,44,20,0.75,0.25
1048,200,68,24,0.75,0.25
1049,213,88,26,0.71,0.29
1050,145,41,25,0.78,0.22
1051,180,93,30,0.66,0.34
1052,211,64,23,0.77,0.23
1053,32,9,4,0.78,0.22
1054,304,97,37,0.76,0.24
1055,236,155,18,0.60,0.40
1056,269,148,39,0.65,0.35
1057,0,6,0,0.00,1.00
1058,8,8,2,0.50,0.50
1059,22,10,7,0.69,0.31
1060,192,43,42,0.82,0.18
1061,138,39,17,0.78,0.22
1062,9,5,3,0.64,0.36
1063,4,2,0,0.67,0.33
1069,78,58,9,0.57,0.43
1070,59,42,10,0.58,0.42
1071,147,68,22,0.68,0.32
1072,190,66,13,0.74,0.26
1074,3,0,0,1.00,0.00
1075,144,44,23,0.77,0.23
1076,214,128,23,0.63,0.37
1077,265,54,16,0.83,0.17
1078,63,7,7,0.90,0.10
1079,187,86,26,0.68,0.32
1080,288,134,29,0.68,0.32
1083,329,166,27,0.66,0.34
1084,136,96,12,0.59,0.41
1085,134,59,12,0.69,0.31
1086,290,109,35,0.73,0.27
1087,123,49,15,0.72,0.28
1088,89,20,7,0.82,0.18
1089,178,112,15,0.61,0.39
1090,0,0,0,0.00,0.00
1091,217,108,57,0.67,0.33
1092,77,29,11,0.73,0.27
1093,88,74,6,0.54,0.46
1094,147,51,22,0.74,0.26
1096,8,2,1,0.80,0.20
1097,62,26,11,0.70,0.30
1098,100,17,14,0.85,0.15
1099,316,204,19,0.61,0.39
1100,236,143,30,0.62,0.38
1101,0,0,0,0.00,0.00
1102,0,5,0,0.00,1.00
1104,394,260,34,0.60,0.40
1105,40,24,5,0.63,0.38
1106,0,0,0,0.00,0.00
1109,0,1,0,0.00,1.00
1111,588,352,47,0.63,0.37
1113,254,164,34,0.61,0.39
1114,3,1,0,0.75,0.25
1117,39,23,6,0.63,0.37
1119,5,3,2,0.63,0.38
1120,12,1,1,0.92,0.08
1123,0,2,0,0.00,1.00
1124,5,0,0,1.00,0.00
1126,0,0,0,0.00,0.00
1127,56,13,3,0.81,0.19
1130,0,0,0,0.00,0.00
1131,0,0,0,0.00,0.00
1132,0,0,0,0.00,0.00
1133,0,0,0,0.00,0.00
1134,0,0,0,0.00,0.00
1135,0,0,0,0.00,0.00
1136,4,1,1,0.80,0.20
1137,0,0,0,0.00,0.00
1138,38,11,8,0.78,0.22
1139,77,56,5,0.58,0.42
1146,15,6,1,0.71,0.29
1147,189,102,28,0.65,0.35
1149,230,131,15,0.64,0.36
2001,56,14,8,0.80,0.20
2002,110,35,7,0.76,0.24
2003,146,44,24,0.77,0.23
2004,204,46,17,0.82,0.18
2005,173,27,10,0.87,0.14
2006,1,0,0,1.00,0.00
2007,138,30,13,0.82,0.18
2008,96,20,11,0.83,0.17
2009,98,30,16,0.77,0.23
2010,177,95,22,0.65,0.35
2011,190,21,15,0.90,0.10
2012,117,26,8,0.82,0.18
2013,149,25,11,0.86,0.14
2014,130,44,6,0.75,0.25
2015,129,26,15,0.83,0.17
2016,64,11,18,0.85,0.15
2017,45,19,3,0.70,0.30
2018,186,39,21,0.83,0.17
2019,99,26,8,0.79,0.21
2020,178,52,14,0.77,0.23
2021,180,47,18,0.79,0.21
2022,133,28,10,0.83,0.17
2023,307,66,30,0.82,0.18
2024,158,71,19,0.69,0.31
2025,358,79,24,0.82,0.18
2026,361,113,27,0.76,0.24
2027,266,91,20,0.75,0.25
2028,483,142,26,0.77,0.23
2029,101,23,11,0.81,0.19
2030,140,20,6,0.88,0.13
2031,118,29,14,0.80,0.20
2032,49,16,7,0.75,0.25
2033,52,8,10,0.87,0.13
2034,43,5,11,0.90,0.10
2035,367,60,16,0.86,0.14
2036,477,122,19,0.80,0.20
2037,187,161,26,0.54,0.46
2038,245,93,18,0.72,0.28
2039,267,39,15,0.87,0.13
2040,294,101,34,0.74,0.26
2041,343,110,24,0.76,0.24
2042,178,37,15,0.83,0.17
2043,154,61,9,0.72,0.28
2044,129,53,18,0.71,0.29
2045,592,102,14,0.85,0.15
2046,574,113,22,0.84,0.16
2047,305,79,21,0.79,0.21
2048,128,36,16,0.78,0.22
2049,323,107,28,0.75,0.25
2050,266,101,20,0.72,0.28
2051,65,15,7,0.81,0.19
2052,71,20,14,0.78,0.22
2053,136,43,9,0.76,0.24
2054,415,54,19,0.88,0.12
2055,266,44,21,0.86,0.14
2056,147,52,23,0.74,0.26
2057,169,49,18,0.78,0.22
2058,179,79,22,0.69,0.31
