PCTKEY,FIP,PCT,Biden,Trump,Biden % ,Trump %
1131000,113,1000,327,74,0.82,0.18
1131001,113,1001,400,89,0.82,0.18
1131002,113,1002,591,127,0.82,0.18
1131003,113,1003,1834,197,0.9,0.1
1131004,113,1004,775,525,0.6,0.4
1131005,113,1005,1174,543,0.68,0.32
1131006,113,1006,708,685,0.51,0.49
1131007,113,1007,155,189,0.45,0.55
1131008,113,1008,1010,421,0.71,0.29
1131009,113,1009,571,144,0.8,0.2
1131010,113,1010,934,204,0.82,0.18
1131011,113,1011,371,78,0.83,0.17
1131012,113,1012,210,109,0.66,0.34
1131013,113,1013,2066,1301,0.61,0.39
1131020,113,1020,748,449,0.62,0.38
1131021,113,1021,840,458,0.65,0.35
1131022,113,1022,2152,692,0.76,0.24
1131026,113,1026,348,126,0.73,0.27
1131027,113,1027,1707,722,0.7,0.3
1131028,113,1028,713,307,0.7,0.3
1131029,113,1029,791,242,0.77,0.23
1131030,113,1030,954,449,0.68,0.32
1131036,113,1036,390,127,0.75,0.25
1131037,113,1037,594,211,0.74,0.26
1131038,113,1038,1018,239,0.81,0.19
1131039,113,1039,151,16,0.9,0.1
1131040,113,1040,1323,510,0.72,0.28
1131041,113,1041,363,73,0.83,0.17
1131042,113,1042,572,81,0.88,0.12
1131043,113,1043,957,779,0.55,0.45
1131044,113,1044,967,825,0.54,0.46
1131045,113,1045,907,199,0.82,0.18
1131046,113,1046,159,70,0.69,0.31
1131047,113,1047,628,325,0.66,0.34
1131049,113,1049,1198,712,0.63,0.37
1131054,113,1054,722,240,0.75,0.25
1131055,113,1055,344,110,0.76,0.24
1131056,113,1056,442,250,0.64,0.36
1131057,113,1057,925,361,0.72,0.28
1131058,113,1058,1013,441,0.7,0.3
1131062,113,1062,15,11,0.58,0.42
1131063,113,1063,773,288,0.73,0.27
1131067,113,1067,4,4,0.5,0.5
1131068,113,1068,22,14,0.61,0.39
1131090,113,1090,1114,230,0.83,0.17
1131095,113,1095,640,138,0.82,0.18
1131096,113,1096,609,123,0.83,0.17
1131097,113,1097,1131,292,0.79,0.21
1131098,113,1098,941,169,0.85,0.15
1131099,113,1099,35,9,0.8,0.2
1131101,113,1101,701,192,0.78,0.22
1131102,113,1102,780,197,0.8,0.2
1131103,113,1103,206,65,0.76,0.24
1131104,113,1104,1173,221,0.84,0.16
1131105,113,1105,24,3,0.89,0.11
1131106,113,1106,112,25,0.82,0.18
1131107,113,1107,305,107,0.74,0.26
1131108,113,1108,1154,222,0.84,0.16
1131109,113,1109,175,80,0.69,0.31
1131110,113,1110,13,5,0.72,0.28
1131111,113,1111,604,176,0.77,0.23
1131115,113,1115,667,230,0.74,0.26
1131116,113,1116,612,256,0.71,0.29
1131117,113,1117,1171,867,0.57,0.43
1131121,113,1121,893,366,0.71,0.29
1131124,113,1124,3,1,0.75,0.25
1131125,113,1125,797,378,0.68,0.32
1131126,113,1126,368,107,0.77,0.23
1131127,113,1127,252,89,0.74,0.26
1131128,113,1128,203,357,0.36,0.64
1131129,113,1129,57,7,0.89,0.11
1131135,113,1135,734,131,0.85,0.15
1131136,113,1136,3,0,1,0
1131137,113,1137,14,12,0.54,0.46
1131141,113,1141,0,0,0,0
1131300,113,1300,924,624,0.6,0.4
1131301,113,1301,906,642,0.59,0.41
1131304,113,1304,559,413,0.58,0.42
1131305,113,1305,567,348,0.62,0.38
1131308,113,1308,647,400,0.62,0.38
1131310,113,1310,1028,729,0.59,0.41
1131311,113,1311,790,685,0.54,0.46
