CNTYVTD,VTDKEY,Biden,Trump,Biden % ,Trump % 
10001,1,357,791,0.31,0.69
10002,2,205,1548,0.12,0.88
10003,3,118,746,0.14,0.86
10004,4,117,1031,0.10,0.90
10005,5,12,203,0.06,0.94
10006,6,389,388,0.50,0.50
10007,7,462,167,0.73,0.27
10008,8,92,75,0.55,0.45
10009,9,160,737,0.18,0.82
10010,10,42,327,0.11,0.89
10011,11,202,643,0.24,0.76
10013,12,316,785,0.29,0.71
10015,13,79,578,0.12,0.88
10016,14,106,519,0.17,0.83
10017,15,127,489,0.21,0.79
10018,16,215,1211,0.15,0.85
10019,17,346,1118,0.24,0.76
10020,18,180,551,0.25,0.75
10021,19,183,1086,0.14,0.86
10022,20,105,640,0.14,0.86
10023,21,99,876,0.10,0.90
10024,22,43,601,0.07,0.93
30001,23,196,1242,0.14,0.86
30002,24,233,1661,0.12,0.88
30003,25,218,1141,0.16,0.84
30004,26,202,893,0.18,0.82
50001,27,121,162,0.43,0.57
50002,28,1011,351,0.74,0.26
50003,29,234,1047,0.18,0.82
50004,30,366,452,0.45,0.55
50005,31,468,611,0.43,0.57
50006,32,51,275,0.16,0.84
50007,33,121,909,0.12,0.88
50009,36,70,152,0.32,0.68
50011,39,160,1486,0.10,0.90
50012,40,100,478,0.17,0.83
50013,41,200,219,0.48,0.52
50014,42,443,892,0.33,0.67
50015,43,73,405,0.15,0.85
50016,44,561,638,0.47,0.53
50017,45,120,1151,0.09,0.91
50018,46,144,313,0.32,0.68
50019,47,355,700,0.34,0.66
50020,48,1116,210,0.84,0.16
50021,49,209,619,0.25,0.75
50022,50,86,749,0.10,0.90
50023,51,73,412,0.15,0.85
50024,52,348,1319,0.21,0.79
50025,53,241,1287,0.16,0.84
50026,54,153,1088,0.12,0.88
50027,55,21,254,0.08,0.92
50029,58,132,949,0.12,0.88
50030,59,63,687,0.08,0.92
50031,60,58,224,0.21,0.79
50032,61,5,75,0.06,0.94
50033,62,61,893,0.06,0.94
50034,63,466,1085,0.30,0.70
50035,64,325,985,0.25,0.75
50036,65,0,0,0.00,0.00
50037,66,59,304,0.16,0.84
50038,67,49,241,0.17,0.83
50039,68,108,233,0.32,0.68
50040,69,200,332,0.38,0.62
70001,72,319,1317,0.19,0.81
70002,73,664,1637,0.29,0.71
70003,74,843,2406,0.26,0.74
70004,75,687,2307,0.23,0.77
90001,78,85,859,0.09,0.91
90002,79,73,720,0.09,0.91
90003,80,26,257,0.09,0.91
90004,81,28,500,0.05,0.95
90005,82,11,121,0.08,0.92
90006,83,81,747,0.10,0.90
90007,84,11,141,0.07,0.93
90008,85,33,228,0.13,0.87
90009,86,11,127,0.08,0.92
90010,87,79,533,0.13,0.87
90011,88,8,67,0.11,0.89
110101,89,15,268,0.05,0.95
110201,90,14,145,0.09,0.91
110202,91,10,61,0.14,0.86
110301,92,12,222,0.05,0.95
110303,93,6,37,0.14,0.86
110401,94,8,144,0.05,0.95
110402,95,10,135,0.07,0.93
110404,96,0,23,0.00,1.00
130001,97,140,451,0.24,0.76
130002,98,333,447,0.43,0.57
130003,99,333,687,0.33,0.67
130004,100,23,80,0.22,0.78
130005,101,476,626,0.43,0.57
130006,102,5,74,0.06,0.94
130007,103,343,670,0.34,0.66
130008,104,122,259,0.32,0.68
130009,105,12,113,0.10,0.90
130010,106,320,547,0.37,0.63
130011,107,5,31,0.14,0.86
130012,108,274,504,0.35,0.65
130013,109,440,1229,0.26,0.74
130014,110,79,234,0.25,0.75
130015,111,485,723,0.40,0.60
130016,112,67,106,0.39,0.61
130017,113,614,561,0.52,0.48
130018,114,339,756,0.31,0.69
130019,115,75,251,0.23,0.77
130020,116,622,2106,0.23,0.77
130021,117,25,147,0.15,0.85
130022,118,102,416,0.20,0.80
130023,119,185,267,0.41,0.59
130024,120,457,754,0.38,0.62
150101,121,187,751,0.20,0.80
150102,122,217,808,0.21,0.79
150103,123,161,974,0.14,0.86
150104,124,97,512,0.16,0.84
150205,125,293,1140,0.20,0.80
150206,126,78,391,0.17,0.83
150207,127,47,267,0.15,0.85
150208,128,86,496,0.15,0.85
150209,129,102,391,0.21,0.79
150210,130,87,477,0.15,0.85
150211,131,38,258,0.13,0.87
150312,132,40,451,0.08,0.92
150313,133,307,356,0.46,0.54
150314,134,436,1507,0.22,0.78
150415,135,257,756,0.25,0.75
150416,136,216,699,0.24,0.76
150417,137,136,310,0.30,0.70
150418,138,166,903,0.16,0.84
170001,139,114,440,0.21,0.79
170002,140,101,607,0.14,0.86
170003,141,104,255,0.29,0.71
190101,144,286,1109,0.21,0.79
190102,145,397,1684,0.19,0.81
190203,146,407,1321,0.24,0.76
190204,147,324,968,0.25,0.75
190305,148,340,1551,0.18,0.82
190306,149,142,971,0.13,0.87
190407,150,328,1506,0.18,0.82
190408,151,67,165,0.29,0.71
190409,152,133,441,0.23,0.77
190410,153,81,341,0.19,0.81
211001,154,1024,1676,0.38,0.62
211002,155,917,812,0.53,0.47
211003,156,1131,1392,0.45,0.55
211004,157,760,869,0.47,0.53
211022,158,1049,1502,0.41,0.59
212005,159,806,1119,0.42,0.58
212006,160,409,804,0.34,0.66
212007,161,456,1316,0.26,0.74
212008,162,244,541,0.31,0.69
