PCT,Trump,Biden,Turnout ,Trump %,Biden %
1001,107,420,527,0.2,0.8
1002,157,307,464,0.34,0.66
1003,268,1102,1370,0.2,0.8
1004,117,394,511,0.23,0.77
1005,100,342,442,0.23,0.77
1006,297,859,1156,0.26,0.74
1007,185,592,777,0.24,0.76
1008,207,1074,1281,0.16,0.84
1009,471,692,1163,0.4,0.6
1010,74,320,394,0.19,0.81
1011,78,201,279,0.28,0.72
1012,432,798,1230,0.35,0.65
1013,261,1054,1315,0.2,0.8
1014,127,517,644,0.2,0.8
1015,167,552,719,0.23,0.77
1016,139,446,585,0.24,0.76
1017,46,86,132,0.35,0.65
1018,322,863,1185,0.27,0.73
1019,107,305,412,0.26,0.74
1020,344,974,1318,0.26,0.74
1021,220,660,880,0.25,0.75
1022,123,365,488,0.25,0.75
1023,263,943,1206,0.22,0.78
1024,714,1292,2006,0.36,0.64
1025,68,222,290,0.23,0.77
1026,166,451,617,0.27,0.73
1027,126,174,300,0.42,0.58
1028,147,378,525,0.28,0.72
1029,246,799,1045,0.24,0.76
1030,16,23,39,0.41,0.59
1031,179,584,763,0.23,0.77
1032,232,899,1131,0.21,0.79
1033,355,651,1006,0.35,0.65
1034,1370,1700,3070,0.45,0.55
1035,227,215,442,0.51,0.49
1036,761,1329,2090,0.36,0.64
1037,364,901,1265,0.29,0.71
1038,624,1197,1821,0.34,0.66
1039,345,1016,1361,0.25,0.75
1040,303,951,1254,0.24,0.76
1041,252,792,1044,0.24,0.76
1042,169,441,610,0.28,0.72
1043,300,605,905,0.33,0.67
1044,330,912,1242,0.27,0.73
1045,534,1337,1871,0.29,0.71
1046,291,821,1112,0.26,0.74
1047,228,649,877,0.26,0.74
1048,346,866,1212,0.29,0.71
1049,395,959,1354,0.29,0.71
1050,251,542,793,0.32,0.68
1051,420,691,1111,0.38,0.62
1052,380,856,1236,0.31,0.69
1053,40,88,128,0.31,0.69
1054,459,1028,1487,0.31,0.69
1055,486,893,1379,0.35,0.65
1056,729,1174,1903,0.38,0.62
1057,699,640,1339,0.52,0.48
1058,719,780,1499,0.48,0.52
1059,91,149,240,0.38,0.62
1060,424,1152,1576,0.27,0.73
1061,334,970,1304,0.26,0.74
1062,63,34,97,0.65,0.35
1063,643,560,1203,0.53,0.47
1064,309,401,710,0.44,0.56
1065,709,709,1418,0.5,0.5
1066,174,270,444,0.39,0.61
1067,1095,874,1969,0.56,0.44
1068,574,699,1273,0.45,0.55
1069,181,198,379,0.48,0.52
1070,191,412,603,0.32,0.68
1071,417,777,1194,0.35,0.65
1072,339,879,1218,0.28,0.72
1073,1024,1398,2422,0.42,0.58
1074,5,6,11,0.45,0.55
1075,315,818,1133,0.28,0.72
1076,613,1150,1763,0.35,0.65
1077,221,696,917,0.24,0.76
1078,61,209,270,0.23,0.77
1079,546,1144,1690,0.32,0.68
1080,819,2114,2933,0.28,0.72
1081,759,525,1284,0.59,0.41
1082,967,1811,2778,0.35,0.65
1083,702,1171,1873,0.37,0.63
1084,317,756,1073,0.3,0.7
1085,270,632,902,0.3,0.7
1086,470,1008,1478,0.32,0.68
1087,250,629,879,0.28,0.72
1088,115,351,466,0.25,0.75
1089,459,613,1072,0.43,0.57
1090,0,0,0,0,0
1091,450,967,1417,0.32,0.68
1092,211,419,630,0.33,0.67
1093,293,527,820,0.36,0.64
1094,560,988,1548,0.36,0.64
1095,72,94,166,0.43,0.57
1096,15,58,73,0.21,0.79
1097,125,288,413,0.3,0.7
1098,84,387,471,0.18,0.82
1099,673,1294,1967,0.34,0.66
1100,660,1202,1862,0.35,0.65
1101,0,0,0,0,0
1102,324,287,611,0.53,0.47
1103,274,287,561,0.49,0.51
1104,800,1368,2168,0.37,0.63
1105,157,260,417,0.38,0.62
1106,0,0,0,0,0
1107,781,939,1720,0.45,0.55
1108,1340,1896,3236,0.41,0.59
1109,3,0,3,1,0
1110,729,1232,1961,0.37,0.63
1111,1299,2197,3496,0.37,0.63
1112,906,2051,2957,0.31,0.69
1113,684,1270,1954,0.35,0.65
