PCT ,For,Against ,For % ,Against % 
1001,173,45,0.79,0.21
1002,51,39,0.57,0.43
1003,262,83,0.76,0.24
1004,114,33,0.78,0.22
1005,85,25,0.77,0.23
1006,219,104,0.68,0.32
1007,158,75,0.68,0.32
1008,395,122,0.76,0.24
1010,111,30,0.79,0.21
1011,38,38,0.5,0.5
1012,161,96,0.63,0.37
1013,271,106,0.72,0.28
1014,108,45,0.71,0.29
1015,101,42,0.71,0.29
1016,77,39,0.66,0.34
1017,26,18,0.59,0.41
1018,179,122,0.59,0.41
1019,80,27,0.75,0.25
1020,240,146,0.62,0.38
1021,128,60,0.68,0.32
1022,57,39,0.59,0.41
1023,177,64,0.73,0.27
1024,244,175,0.58,0.42
1025,34,14,0.71,0.29
1026,90,37,0.71,0.29
1028,85,36,0.7,0.3
1029,194,81,0.71,0.29
1030,5,0,1,0
1031,142,51,0.74,0.26
1032,200,68,0.75,0.25
1033,114,71,0.62,0.38
1036,270,198,0.58,0.42
1037,168,94,0.64,0.36
1038,231,169,0.58,0.42
1039,139,72,0.66,0.34
1040,184,76,0.71,0.29
1041,128,65,0.66,0.34
1042,79,42,0.65,0.35
1043,116,82,0.59,0.41
1044,184,93,0.66,0.34
1045,271,124,0.69,0.31
1046,146,80,0.65,0.35
1047,131,61,0.68,0.32
1048,194,96,0.67,0.33
1049,200,118,0.63,0.37
1050,133,65,0.67,0.33
1051,170,131,0.56,0.44
1052,193,102,0.65,0.35
1053,28,15,0.65,0.35
1054,290,134,0.68,0.32
1055,238,159,0.6,0.4
1056,266,185,0.59,0.41
1057,1,5,0.17,0.83
1058,6,13,0.32,0.68
1059,20,17,0.54,0.46
1060,181,87,0.68,0.32
1061,132,57,0.7,0.3
1062,4,14,0.22,0.78
1063,2,4,0.33,0.67
1069,59,81,0.42,0.58
1070,64,46,0.58,0.42
1071,143,88,0.62,0.38
1072,180,87,0.67,0.33
1074,1,1,0.5,0.5
1075,137,71,0.66,0.34
1076,187,170,0.52,0.48
1077,224,101,0.69,0.31
1078,61,15,0.8,0.2
1079,172,122,0.59,0.41
1080,282,163,0.63,0.37
1083,322,190,0.63,0.37
1084,138,91,0.6,0.4
1085,123,74,0.62,0.38
1086,271,144,0.65,0.35
1087,116,59,0.66,0.34
1088,91,27,0.77,0.23
1089,158,138,0.53,0.47
1090,0,0,0,0
1091,236,139,0.63,0.37
1092,72,38,0.65,0.35
1093,84,79,0.52,0.48
1094,130,90,0.59,0.41
1096,9,1,0.9,0.1
1097,65,33,0.66,0.34
1098,95,38,0.71,0.29
1099,307,207,0.6,0.4
1100,229,173,0.57,0.43
1101,0,0,0,0
1102,0,4,0,1
1104,385,292,0.57,0.43
1105,42,28,0.6,0.4
1106,0,0,0,0
1109,0,1,0,1
1111,547,418,0.57,0.43
1113,242,200,0.55,0.45
1114,1,2,0.33,0.67
1117,34,31,0.52,0.48
1119,8,2,0.8,0.2
1120,11,3,0.79,0.21
1123,0,2,0,1
1124,3,2,0.6,0.4
1126,0,0,0,0
1127,44,24,0.65,0.35
1130,0,0,0,0
1131,0,0,0,0
1132,0,0,0,0
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,4,1,0.8,0.2
1137,0,0,0,0
1138,43,14,0.75,0.25
1139,71,63,0.53,0.47
1146,9,10,0.47,0.53
1147,180,135,0.57,0.43
1149,218,150,0.59,0.41
2001,55,21,0.72,0.28
2002,95,55,0.63,0.37
2003,128,70,0.65,0.35
2004,190,75,0.72,0.28
2005,157,48,0.77,0.23
2006,1,0,1,0
2007,127,47,0.73,0.27
2008,88,36,0.71,0.29
2009,104,38,0.73,0.27
2010,172,108,0.61,0.39
2011,175,41,0.81,0.19
2012,111,39,0.74,0.26
2013,139,40,0.78,0.22
2014,111,60,0.65,0.35
2015,127,38,0.77,0.23
2016,65,26,0.71,0.29
2017,50,16,0.76,0.24
2018,167,72,0.7,0.3
2019,89,39,0.7,0.3
2020,172,62,0.74,0.26
2021,184,62,0.75,0.25
2022,128,36,0.78,0.22
2023,267,109,0.71,0.29
2024,150,88,0.63,0.37
2025,301,144,0.68,0.32
2026,314,162,0.66,0.34
2027,211,144,0.59,0.41
2028,439,187,0.7,0.3
2029,92,40,0.7,0.3
2030,127,36,0.78,0.22
2031,113,41,0.73,0.27
2032,48,22,0.69,0.31
2033,48,20,0.71,0.29
2034,44,12,0.79,0.21
2035,340,94,0.78,0.22
2036,409,195,0.68,0.32
2037,169,186,0.48,0.52
2038,218,135,0.62,0.38
2039,237,73,0.76,0.24
2040,280,128,0.69,0.31
2041,294,162,0.64,0.36
2042,152,65,0.7,0.3
2043,159,57,0.74,0.26
2044,116,71,0.62,0.38
2045,512,180,0.74,0.26
2046,489,201,0.71,0.29
2047,290,107,0.73,0.27
2048,130,46,0.74,0.26
2049,302,142,0.68,0.32
2050,239,130,0.65,0.35
2051,67,27,0.71,0.29
2052,68,30,0.69,0.31
2053,124,61,0.67,0.33
2054,367,111,0.77,0.23
2055,250,81,0.76,0.24
2056,146,72,0.67,0.33
2057,160,66,0.71,0.29
2058,159,106,0.6,0.4
2059,214,144,0.6,0.4
2060,186,76,0.71,0.29
2062,181,114,0.61,0.39
2064,287,219,0.57,0.43
2066,523,512,0.51,0.49
2067,51,18,0.74,0.26
2068,529,454,0.54,0.46
2069,252,196,0.56,0.44
2070,166,88,0.65,0.35
2071,67,25,0.73,0.27
2072,315,281,0.53,0.47
2073,128,70,0.65,0.35
2074,39,33,0.54,0.46
2075,62,19,0.77,0.23
2076,260,213,0.55,0.45
2077,311,259,0.55,0.45
2078,198,159,0.55,0.45
2079,33,17,0.66,0.34
2080,119,71,0.63,0.37
2081,118,56,0.68,0.32
2082,132,96,0.58,0.42
2083,163,59,0.73,0.27
2084,487,563,0.46,0.54
2085,162,115,0.58,0.42
2086,428,361,0.54,0.46
2087,255,268,0.49,0.51
2088,406,306,0.57,0.43
2089,28,14,0.67,0.33
2090,131,61,0.68,0.32
2091,240,89,0.73,0.27
2092,42,34,0.55,0.45
2093,84,48,0.64,0.36
2094,35,28,0.56,0.44
2096,143,73,0.66,0.34
2097,209,175,0.54,0.46
2098,90,83,0.52,0.48
2099,198,174,0.53,0.47
2100,103,72,0.59,0.41
2102,336,247,0.58,0.42
2103,17,6,0.74,0.26
2104,30,15,0.67,0.33
2105,59,21,0.74,0.26
2106,46,28,0.62,0.38
2108,191,210,0.48,0.52
2109,0,0,0,0
2110,155,100,0.61,0.39
2113,4,2,0.67,0.33
2114,191,118,0.62,0.38
2115,0,0,0,0
2116,0,0,0,0
2117,69,24,0.74,0.26
2118,6,2,0.75,0.25
2119,32,9,0.78,0.22
2121,43,22,0.66,0.34
2122,86,46,0.65,0.35
2123,165,200,0.45,0.55
2124,110,59,0.65,0.35
2125,1,1,0.5,0.5
2126,100,80,0.56,0.44
2127,288,269,0.52,0.48
2128,128,63,0.67,0.33
2129,0,0,0,0
2130,251,171,0.59,0.41
2131,41,16,0.72,0.28
2132,0,0,0,0
2133,45,29,0.61,0.39
2134,93,33,0.74,0.26
2135,67,37,0.64,0.36
2137,164,83,0.66,0.34
2138,119,63,0.65,0.35
2139,194,167,0.54,0.46
2140,129,70,0.65,0.35
2141,155,132,0.54,0.46
2142,56,17,0.77,0.23
2144,271,160,0.63,0.37
2145,52,33,0.61,0.39
2147,30,36,0.45,0.55
2148,294,133,0.69,0.31
2149,158,77,0.67,0.33
2150,1,0,1,0
2151,1,2,0.33,0.67
2152,44,25,0.64,0.36
2153,13,9,0.59,0.41
2155,0,0,0,0
2156,88,40,0.69,0.31
2157,0,0,0,0
2159,16,15,0.52,0.48
2160,4,0,1,0
3001,344,366,0.48,0.52
3004,0,0,0,0
3005,0,0,0,0
3006,200,158,0.56,0.44
3007,282,359,0.44,0.56
3010,40,28,0.59,0.41
3011,219,146,0.6,0.4
3013,276,187,0.6,0.4
3014,78,75,0.51,0.49
3015,166,125,0.57,0.43
3016,22,27,0.45,0.55
3019,50,18,0.74,0.26
3023,302,228,0.57,0.43
3024,0,0,0,0
3027,242,229,0.51,0.49
3028,202,241,0.46,0.54
3029,173,132,0.57,0.43
3030,345,376,0.48,0.52
3031,3,4,0.43,0.57
3032,204,121,0.63,0.37
3033,219,299,0.42,0.58
3035,116,100,0.54,0.46
3036,357,228,0.61,0.39
3037,370,314,0.54,0.46
3039,0,0,0,0
3040,251,289,0.46,0.54
3042,268,297,0.47,0.53
3044,199,157,0.56,0.44
3045,210,276,0.43,0.57
3046,283,188,0.6,0.4
3047,385,284,0.58,0.42
3048,359,227,0.61,0.39
3049,440,417,0.51,0.49
3050,180,146,0.55,0.45
3052,374,583,0.39,0.61
3053,261,196,0.57,0.43
3054,276,175,0.61,0.39
3056,191,144,0.57,0.43
3057,86,79,0.52,0.48
3058,296,220,0.57,0.43
3059,155,243,0.39,0.61
3060,309,222,0.58,0.42
3061,242,176,0.58,0.42
3062,3,5,0.38,0.63
3063,313,230,0.58,0.42
3064,86,60,0.59,0.41
3065,3,0,1,0
3066,321,296,0.52,0.48
3068,206,102,0.67,0.33
3069,586,420,0.58,0.42
3070,505,394,0.56,0.44
3071,356,248,0.59,0.41
3073,246,195,0.56,0.44
3074,482,410,0.54,0.46
3076,194,275,0.41,0.59
3077,485,380,0.56,0.44
3078,411,399,0.51,0.49
3079,493,462,0.52,0.48
3080,162,183,0.47,0.53
3081,299,280,0.52,0.48
3082,286,291,0.5,0.5
3083,195,230,0.46,0.54
3084,383,380,0.5,0.5
3085,179,174,0.51,0.49
3086,330,307,0.52,0.48
3087,156,190,0.45,0.55
3088,399,426,0.48,0.52
3090,334,430,0.44,0.56
3093,499,673,0.43,0.57
3094,363,397,0.48,0.52
3095,180,122,0.6,0.4
3098,185,198,0.48,0.52
3099,361,374,0.49,0.51
3100,317,326,0.49,0.51
3101,342,336,0.5,0.5
3102,448,464,0.49,0.51
3103,67,50,0.57,0.43
3104,370,449,0.45,0.55
3105,351,382,0.48,0.52
3107,193,124,0.61,0.39
3108,221,285,0.44,0.56
3109,287,220,0.57,0.43
3110,313,340,0.48,0.52
3111,0,0,0,0
3112,157,88,0.64,0.36
3113,90,36,0.71,0.29
3114,314,518,0.38,0.62
3115,380,298,0.56,0.44
3116,233,167,0.58,0.42
3117,527,537,0.5,0.5
3118,167,92,0.64,0.36
3119,401,397,0.5,0.5
3120,332,345,0.49,0.51
3121,405,462,0.47,0.53
3122,277,299,0.48,0.52
3123,0,0,0,0
3125,0,0,0,0
3127,421,341,0.55,0.45
3129,383,299,0.56,0.44
3130,256,389,0.4,0.6
3131,0,0,0,0
3132,104,53,0.66,0.34
3134,237,172,0.58,0.42
3135,139,78,0.64,0.36
3136,80,77,0.51,0.49
3137,4,2,0.67,0.33
3138,4,10,0.29,0.71
3139,180,114,0.61,0.39
3140,53,27,0.66,0.34
3141,180,125,0.59,0.41
3142,25,20,0.56,0.44
3143,209,172,0.55,0.45
3145,383,438,0.47,0.53
3146,434,296,0.59,0.41
3147,389,264,0.6,0.4
3149,43,13,0.77,0.23
3150,6,3,0.67,0.33
3151,293,372,0.44,0.56
3152,129,39,0.77,0.23
3153,210,192,0.52,0.48
3154,292,338,0.46,0.54
3155,278,376,0.43,0.57
3156,2,1,0.67,0.33
3157,444,384,0.54,0.46
3159,231,138,0.63,0.37
3161,248,187,0.57,0.43
3162,157,129,0.55,0.45
3163,252,353,0.42,0.58
3164,2,0,1,0
3165,426,582,0.42,0.58
3166,85,69,0.55,0.45
3167,0,0,0,0
3170,0,0,0,0
3172,66,36,0.65,0.35
3173,346,383,0.47,0.53
3175,97,61,0.61,0.39
3177,0,0,0,0
3178,1,0,1,0
3179,0,0,0,0
3180,142,130,0.52,0.48
3181,286,416,0.41,0.59
3182,124,94,0.57,0.43
3188,0,0,0,0
3190,7,5,0.58,0.42
3192,0,0,0,0
3193,30,20,0.6,0.4
3195,118,63,0.65,0.35
3197,0,0,0,0
3198,87,67,0.56,0.44
3200,0,0,0,0
3201,0,0,0,0
3204,0,0,0,0
3205,0,0,0,0
3206,23,12,0.66,0.34
3207,0,0,0,0
3208,6,3,0.67,0.33
3210,243,218,0.53,0.47
4001,418,160,0.72,0.28
4002,74,28,0.73,0.27
4003,137,34,0.8,0.2
4004,167,69,0.71,0.29
4005,252,79,0.76,0.24
4006,75,30,0.71,0.29
4007,32,21,0.6,0.4
4008,106,65,0.62,0.38
4009,72,22,0.77,0.23
4010,106,24,0.82,0.18
4011,128,40,0.76,0.24
4012,73,17,0.81,0.19
4013,87,48,0.64,0.36
4014,37,20,0.65,0.35
4015,221,85,0.72,0.28
4016,309,123,0.72,0.28
4017,381,112,0.77,0.23
4018,305,88,0.78,0.22
4019,210,149,0.58,0.42
4020,73,34,0.68,0.32
4021,92,69,0.57,0.43
4022,10,5,0.67,0.33
4023,251,231,0.52,0.48
4024,260,171,0.6,0.4
4025,130,68,0.66,0.34
4026,303,143,0.68,0.32
4027,240,101,0.7,0.3
4028,361,167,0.68,0.32
4029,200,89,0.69,0.31
4030,35,7,0.83,0.17
4031,148,115,0.56,0.44
4032,209,103,0.67,0.33
4033,362,244,0.6,0.4
4034,168,143,0.54,0.46
4035,5,2,0.71,0.29
4036,349,154,0.69,0.31
4037,139,50,0.74,0.26
4038,516,252,0.67,0.33
4039,167,38,0.81,0.19
4040,146,34,0.81,0.19
4041,232,76,0.75,0.25
4042,16,5,0.76,0.24
4044,128,88,0.59,0.41
4045,281,184,0.6,0.4
4046,399,353,0.53,0.47
4047,220,126,0.64,0.36
4048,193,76,0.72,0.28
4049,182,98,0.65,0.35
4052,260,219,0.54,0.46
4062,64,37,0.63,0.37
4063,84,44,0.66,0.34
4065,270,119,0.69,0.31
4068,31,22,0.58,0.42
4070,379,184,0.67,0.33
4075,78,30,0.72,0.28
4076,223,126,0.64,0.36
4077,313,200,0.61,0.39
4082,121,53,0.7,0.3
4084,62,17,0.78,0.22
4091,135,64,0.68,0.32
4093,218,208,0.51,0.49
4094,215,182,0.54,0.46
4095,177,156,0.53,0.47
4096,158,113,0.58,0.42
4098,130,138,0.49,0.51
4099,83,74,0.53,0.47
4101,1,0,1,0
4102,46,18,0.72,0.28
4103,0,0,0,0
4104,146,148,0.5,0.5
4106,21,17,0.55,0.45
4108,280,281,0.5,0.5
4110,228,68,0.77,0.23
4111,10,3,0.77,0.23
4112,169,112,0.6,0.4
4113,87,43,0.67,0.33
4115,20,28,0.42,0.58
4117,69,62,0.53,0.47
4119,91,26,0.78,0.22
4120,18,14,0.56,0.44
4122,20,2,0.91,0.09
4123,16,17,0.48,0.52
4124,151,75,0.67,0.33
4125,2,4,0.33,0.67
4127,3,2,0.6,0.4
4128,22,27,0.45,0.55
4131,21,10,0.68,0.32
4134,0,0,0,0
4135,0,0,0,0
4136,23,18,0.56,0.44
4138,0,0,0,0
4139,0,0,0,0
4140,0,0,0,0
4141,11,4,0.73,0.27
4142,30,10,0.75,0.25
4147,42,20,0.68,0.32
4148,20,9,0.69,0.31
4149,23,26,0.47,0.53
4153,15,25,0.38,0.63
4154,67,47,0.59,0.41
4155,445,157,0.74,0.26
4156,78,53,0.6,0.4
4157,300,86,0.78,0.22
4159,0,0,0,0
4161,49,3,0.94,0.06
4165,1,5,0.17,0.83
4166,17,16,0.52,0.48
4167,2,3,0.4,0.6
4169,30,35,0.46,0.54
4170,24,21,0.53,0.47
4171,144,152,0.49,0.51
4172,112,117,0.49,0.51
4173,157,126,0.55,0.45
4174,92,90,0.51,0.49
4175,0,0,0,0
4176,120,120,0.5,0.5
4177,5,1,0.83,0.17
4178,0,1,0,1
4179,335,343,0.49,0.51
4180,0,0,0,0
4181,1,0,1,0
4183,24,4,0.86,0.14
4184,2,0,1,0
4186,23,13,0.64,0.36
4190,0,0,0,0
4193,3,2,0.6,0.4
4199,80,55,0.59,0.41
4200,343,226,0.6,0.4
4202,0,0,0,0
4203,60,7,0.9,0.1
4204,0,0,0,0
4205,13,5,0.72,0.28
4206,25,31,0.45,0.55
4207,0,0,0,0
4208,0,0,0,0
4210,5,1,0.83,0.17
4211,6,0,1,0
4212,0,0,0,0
4213,0,1,0,1
7777,0,0,0,0
