PCT,For,Against,For %,Against %
1001,166,57,0.74,0.26
1002,50,43,0.54,0.46
1003,219,134,0.62,0.38
1004,94,53,0.64,0.36
1005,66,45,0.59,0.41
1006,173,158,0.52,0.48
1007,120,120,0.50,0.50
1008,388,141,0.73,0.27
1010,101,40,0.72,0.28
1011,32,43,0.43,0.57
1012,127,139,0.48,0.52
1013,191,198,0.49,0.51
1014,77,81,0.49,0.51
1015,74,72,0.51,0.49
1016,52,69,0.43,0.57
1017,19,25,0.43,0.57
1018,159,147,0.52,0.48
1019,60,44,0.58,0.42
1020,201,195,0.51,0.49
1021,89,106,0.46,0.54
1022,46,53,0.46,0.54
1023,126,120,0.51,0.49
1024,197,242,0.45,0.55
1025,25,25,0.50,0.50
1026,61,65,0.48,0.52
1028,62,63,0.50,0.50
1029,147,135,0.52,0.48
1030,4,0,1.00,0.00
1031,94,105,0.47,0.53
1032,133,140,0.49,0.51
1033,91,102,0.47,0.53
1036,215,271,0.44,0.56
1037,129,151,0.46,0.54
1038,204,210,0.49,0.51
1039,103,114,0.47,0.53
1040,129,135,0.49,0.51
1041,86,117,0.42,0.58
1042,68,64,0.52,0.48
1043,107,96,0.53,0.47
1044,142,145,0.49,0.51
1045,202,212,0.49,0.51
1046,137,103,0.57,0.43
1047,105,89,0.54,0.46
1048,152,142,0.52,0.48
1049,160,169,0.49,0.51
1050,97,111,0.47,0.53
1051,135,173,0.44,0.56
1052,134,163,0.45,0.55
1053,18,26,0.41,0.59
1054,230,207,0.53,0.47
1055,216,195,0.53,0.47
1056,196,264,0.43,0.57
1057,0,6,0.00,1.00
1058,5,13,0.28,0.72
1059,16,23,0.41,0.59
1060,141,141,0.50,0.50
1061,104,93,0.53,0.47
1062,7,12,0.37,0.63
1063,2,4,0.33,0.67
1069,56,88,0.39,0.61
1070,48,64,0.43,0.57
1071,122,121,0.50,0.50
1072,147,130,0.53,0.47
1074,3,0,1.00,0.00
1075,105,108,0.49,0.51
1076,159,210,0.43,0.57
1077,166,167,0.50,0.50
1078,45,32,0.58,0.42
1079,163,138,0.54,0.46
1080,237,222,0.52,0.48
1083,243,286,0.46,0.54
1084,108,135,0.44,0.56
1085,102,104,0.50,0.50
1086,209,223,0.48,0.52
1087,93,92,0.50,0.50
1088,56,57,0.50,0.50
1089,128,179,0.42,0.58
1090,0,0,0.00,0.00
1091,170,212,0.45,0.55
1092,62,55,0.53,0.47
1093,73,95,0.43,0.57
1094,105,123,0.46,0.54
1096,7,4,0.64,0.36
1097,40,57,0.41,0.59
1098,90,42,0.68,0.32
1099,263,277,0.49,0.51
1100,181,238,0.43,0.57
1101,0,0,0.00,0.00
1102,0,5,0.00,1.00
1104,335,369,0.48,0.52
1105,29,43,0.40,0.60
1106,0,0,0.00,0.00
1109,0,1,0.00,1.00
1111,490,500,0.49,0.51
1113,203,254,0.44,0.56
1114,2,1,0.67,0.33
1117,26,42,0.38,0.62
1119,3,7,0.30,0.70
1120,8,6,0.57,0.43
1123,0,2,0.00,1.00
1124,2,3,0.40,0.60
1126,0,0,0.00,0.00
1127,36,34,0.51,0.49
1130,0,0,0.00,0.00
1131,0,0,0.00,0.00
1132,0,0,0.00,0.00
1133,0,0,0.00,0.00
1134,0,0,0.00,0.00
1135,0,0,0.00,0.00
1136,3,3,0.50,0.50
1137,0,0,0.00,0.00
1138,30,28,0.52,0.48
1139,66,72,0.48,0.52
1146,4,18,0.18,0.82
1147,152,177,0.46,0.54
1149,175,201,0.47,0.53
2001,41,37,0.53,0.47
2002,64,88,0.42,0.58
2003,122,95,0.56,0.44
2004,164,108,0.60,0.40
2005,144,66,0.69,0.31
2006,1,0,1.00,0.00
2007,99,82,0.55,0.45
2008,62,64,0.49,0.51
2009,93,54,0.63,0.37
2010,139,153,0.48,0.52
2011,135,82,0.62,0.38
2012,85,70,0.55,0.45
2013,115,73,0.61,0.39
2014,97,85,0.53,0.47
2015,100,68,0.60,0.40
2016,44,51,0.46,0.54
2017,34,31,0.52,0.48
2018,128,119,0.52,0.48
2019,73,60,0.55,0.45
2020,161,90,0.64,0.36
2021,135,113,0.54,0.46
2022,90,79,0.53,0.47
2023,227,173,0.57,0.43
2024,124,129,0.49,0.51
2025,266,203,0.57,0.43
2026,279,221,0.56,0.44
2027,190,186,0.51,0.49
2028,374,278,0.57,0.43
2029,66,66,0.50,0.50
2030,94,72,0.57,0.43
2031,74,86,0.46,0.54
2032,34,39,0.47,0.53
2033,36,31,0.54,0.46
2034,25,32,0.44,0.56
2035,337,107,0.76,0.24
2036,418,198,0.68,0.32
2037,156,220,0.41,0.59
2038,204,155,0.57,0.43
2039,221,100,0.69,0.31
2040,242,192,0.56,0.44
2041,237,240,0.50,0.50
2042,136,100,0.58,0.42
2043,123,102,0.55,0.45
2044,94,108,0.47,0.53
2045,497,213,0.70,0.30
2046,451,266,0.63,0.37
2047,246,156,0.61,0.39
2048,115,66,0.64,0.36
2049,244,220,0.53,0.47
2050,182,204,0.47,0.53
2051,70,25,0.74,0.26
2052,64,44,0.59,0.41
2053,115,76,0.60,0.40
2054,345,146,0.70,0.30
2055,253,83,0.75,0.25
2056,123,104,0.54,0.46
2057,125,111,0.53,0.47
2058,154,130,0.54,0.46
2059,198,172,0.54,0.46
2060,166,106,0.61,0.39
2062,162,143,0.53,0.47
2064,251,279,0.47,0.53
2066,457,614,0.43,0.57
2067,43,26,0.62,0.38
2068,455,562,0.45,0.55
2069,219,246,0.47,0.53
2070,131,122,0.52,0.48
2071,30,61,0.33,0.67
2072,261,353,0.43,0.57
2073,108,96,0.53,0.47
2074,32,44,0.42,0.58
2075,56,28,0.67,0.33
2076,198,303,0.40,0.60
2077,266,313,0.46,0.54
2078,155,215,0.42,0.58
2079,23,26,0.47,0.53
2080,105,93,0.53,0.47
2081,109,69,0.61,0.39
2082,101,139,0.42,0.58
2083,147,81,0.64,0.36
2084,482,612,0.44,0.56
2085,147,136,0.52,0.48
2086,409,419,0.49,0.51
2087,237,307,0.44,0.56
2088,346,394,0.47,0.53
2089,24,18,0.57,0.43
2090,105,91,0.54,0.46
2091,212,130,0.62,0.38
2092,35,48,0.42,0.58
2093,59,76,0.44,0.56
2094,40,27,0.60,0.40
2096,117,100,0.54,0.46
2097,191,204,0.48,0.52
2098,79,102,0.44,0.56
2099,155,228,0.40,0.60
2100,82,95,0.46,0.54
2102,286,310,0.48,0.52
2103,10,13,0.43,0.57
2104,28,21,0.57,0.43
2105,36,44,0.45,0.55
2106,37,38,0.49,0.51
2108,171,239,0.42,0.58
2109,0,0,0.00,0.00
2110,123,139,0.47,0.53
2113,5,1,0.83,0.17
2114,159,164,0.49,0.51
2115,0,0,0.00,0.00
2116,0,0,0.00,0.00
2117,53,41,0.56,0.44
2118,5,3,0.63,0.38
2119,27,14,0.66,0.34
2121,30,38,0.44,0.56
2122,78,58,0.57,0.43
2123,131,250,0.34,0.66
2124,102,71,0.59,0.41
2125,1,1,0.50,0.50
2126,86,109,0.44,0.56
2127,251,327,0.43,0.57
2128,93,117,0.44,0.56
2129,0,0,0.00,0.00
2130,225,212,0.51,0.49
2131,35,25,0.58,0.42
2132,0,0,0.00,0.00
2133,34,41,0.45,0.55
2134,68,59,0.54,0.46
2135,61,46,0.57,0.43
2137,148,113,0.57,0.43
2138,104,90,0.54,0.46
2139,162,220,0.42,0.58
